Country/Regional and global averages,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022 data sources,2000.1,2001.1,2002.1,2003.1,2004.1,2005.1,2006.1,2007.1,2008.1,2009.1,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018.1,2019.1,2020.1,2021.1,2022.1
Afghanistan,Central Asia and Southern Asia,4.446890830993652,9.294527053833008,14.13361644744873,18.97116470336914,23.81418228149414,28.6696720123291,33.54441833496094,38.44000244140625,42.4,48.27900695800781,42.7,43.22201890820372,69.1,68.04087829589844,89.5,71.5,97.7,97.7,93.43087768554688,97.7,97.7,97.7,85.3,MICS,18673926.92533926,17858666.77223038,18032160.36397766,18349085.09040795,17944465.43109531,17412582.6059968,16908256.42791016,15946071.46319519,15222066.624,14163952.7279982,16152682.056,16607080.83096981,9414142.011,10080293.37125504,3435202.050000001,9619747.215,796632.7609999999,819798.6140000001,2409999.714199215,868698.4769999981,896361.2899999991,922287.626000002,6045929.337000005
Albania,Northern America and Europe,99.43085479736328,99.42198944091797,99.40457916259766,99.38562774658203,99.37213897705078,99.37112426757812,99.38936614990234,99.42845153808594,100.0,99.55445098876953,99.64420318603516,99.71864318847656,99.9,99.89031219482422,99.95,99.98,99.89,99.89,100.0,100.0,100.0,100.0,100.0,World Bank,17581.04897865281,17688.12306617759,18166.34929122915,18674.55731445318,19004.97016944876,18938.51092803944,18273.50496208202,16975.08648208622,0.0,13043.53195808409,10364.43590812664,8173.964020538144,2900.400999999605,3175.562872619834,1444.551999999676,576.1406000000425,3163.711099999957,3160.802699999884,0.0,0.0,0.0,0.0,0.0
Algeria,Western Asia and Northern Africa ,98.64002990722656,98.63796997070312,98.62735748291016,98.6152114868164,98.60852813720703,98.61431884765625,98.7,98.68524932861328,99.3,98.82485961914062,98.91090393066406,99.00265502929688,98.76466046545829,99.18792724609375,99.27455139160156,99.35619354248047,99.4336929321289,99.53002166748047,99.63774108886719,99.5,99.7187728881836,99.78782653808594,99.84,World Bank,418525.6417643726,424966.7851364128,434094.0231964104,443906.1855835728,452370.090731658,456674.6417663582,434656.0399999991,446802.5936454013,241987.1440000013,413602.8432492092,390510.0331115723,364465.1682803333,460294.4655318186,308592.7300598174,281185.0993689001,254581.3789588958,228444.4712587744,193332.8529469296,151884.3190287799,213526.8400000036,122197.8653279096,93733.92623062432,70951.58582250774
American Samoa,Oceania,,,,,,,,,,,,,,,,,,,,,,,0.0,No data,,,,,,,,,,,,,,,,,,,,,,,0.0
Andorra,Northern America and Europe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,World Bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,Sub-Saharan Africa ,24.23886489868164,20.0,26.32025527954102,27.35513687133789,28.39548492431641,29.44830894470215,30.52038764953613,37.5,38.49,33.84697723388672,34.98005294799805,34.6,37.25949096679688,38.39817810058594,32.0,42.0,41.7850341796875,42.90624237060547,45.29,45.63388061523438,46.9554443359375,48.22385406494141,48.47,World Bank,12420327.4604139,13553269.6,12905846.50008076,13166403.43887062,13440973.03050041,13722980.50097265,14008715.67278252,13068552.5,13342455.1822,14889506.70534256,15191380.71613178,15865458.594,15803262.61756958,16107029.60407623,18447269.16,16314078.18,16972425.41889893,17247240.85348541,17109749.9043,17589390.2773352,17731991.86392334,17864724.3793428,18339319.53267456
Anguilla,Latin America and the Caribbean ,94.61536407470703,96.7,95.25352478027344,95.5667953491211,95.88552856445312,96.21673583984375,96.56719207763672,96.9384994506836,97.3270263671875,97.72893524169922,98.14039611816406,97.8,98.97660827636719,99.3936767578125,99.80571746826172,99.91353607177734,99.98785400390625,100.0,100.0,100.0,100.0,100.0,100.0,World Bank,596.0791969299316,375.275999999998,554.957882690429,532.9155310821534,507.6846304321298,478.1289245605476,442.9352062225335,402.5873222351074,357.1092773437504,308.0699344635013,256.0488584899904,306.9219999999987,144.5950166320799,86.6981604003904,28.09131126403736,12.63324455261318,1.796271362305561,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Latin America and the Caribbean ,97.67312622070312,97.74580383300781,100.0,97.87252044677734,97.9405746459961,92.2,100.0,100.0,100.0,98.53059387207031,98.69137573242188,94.5520140336941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,World Bank,1746.435115051267,1718.03560867309,0.0,1661.029661178589,1625.730968704229,6229.782000000007,0.0,0.0,0.0,1242.14777618408,1121.425566101068,4724.983748717437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Latin America and the Caribbean ,95.68047332763672,95.5110634674458,96.09600067138672,96.2979507446289,96.50537109375,96.72526550292969,96.96440887451172,97.22439575195312,97.50160217285156,97.79220581054688,98.82,99.0342864990234,99.143798828125,99.28577423095703,100.0,99.68903350830078,99.89974212646484,100.0,99.99373626708984,100.0,100.0,100.0,100.0,World Bank,1601281.970581509,1682475.542858422,1479031.238764957,1417076.485331729,1351330.922714844,1279455.1744252,1198355.785578229,1106803.03087189,1006198.96960678,898226.4503814727,481303.7454000041,398467.7796340957,357320.7553637698,301424.2370624542,0.0,134125.9614711031,43702.77602294832,0.0,2787.016764983535,0.0,0.0,0.0,0.0
